name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
JDOMAbout,2.0,1.0,0.0,12.0,15.0,1.0,2.0,12.0,2.0,2.0,142.0,0.0,0.0,0.0,0.5,0.0,0.0,70.0,1.0,1.0,0
JDOMAbout$Author,1.0,1.0,0.0,5.0,2.0,0.0,2.0,4.0,0.0,2.0,10.0,0.333333333333,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,1
JDOMAbout$Info,1.0,1.0,0.0,19.0,22.0,0.0,1.0,19.0,0.0,2.0,152.0,0.111111111111,1.0,0.0,1.0,0.0,0.0,142.0,1.0,1.0,1
cirrus.hibernate.AssertionFailure,2.0,4.0,0.0,21.0,8.0,0.0,11.0,10.0,1.0,0.5,30.0,0.5,0.0,1.0,1.0,0.0,0.0,13.0,1.5,2.0,0
cirrus.hibernate.AssertionFailure,2.0,4.0,0.0,21.0,8.0,0.0,11.0,10.0,1.0,0.5,30.0,0.5,0.0,1.0,1.0,0.0,0.0,13.0,1.5,2.0,0
cirrus.hibernate.CallbackException,3.0,0.0,0.0,11.0,9.0,0.0,4.0,7.0,3.0,0.0,26.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,7.33333333333,1.0,1.0,0
cirrus.hibernate.CallbackException,3.0,0.0,0.0,11.0,9.0,0.0,4.0,7.0,3.0,0.0,26.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,7.33333333333,1.0,1.0,0
cirrus.hibernate.Databinder,6.0,1.0,0.0,12.0,6.0,15.0,6.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,0.0,1.0,1.0,0
cirrus.hibernate.Databinder,6.0,1.0,0.0,12.0,6.0,15.0,6.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,0.444444444444,0.0,0.0,0.0,1.0,1.0,0
cirrus.hibernate.Datastore,11.0,1.0,0.0,19.0,11.0,55.0,8.0,11.0,11.0,2.0,11.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0
cirrus.hibernate.Datastore,11.0,1.0,0.0,19.0,11.0,55.0,8.0,11.0,11.0,2.0,11.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0
cirrus.hibernate.Environment,9.0,1.0,0.0,33.0,38.0,20.0,12.0,21.0,6.0,1.08863636364,280.0,0.309090909091,0.0,0.0,0.125,0.0,0.0,24.0,1.77777777778,6.0,1
cirrus.hibernate.Environment,9.0,1.0,0.0,33.0,38.0,20.0,12.0,21.0,6.0,1.08863636364,280.0,0.309090909091,0.0,0.0,0.125,0.0,0.0,24.0,1.77777777778,6.0,1
cirrus.hibernate.Hibernate,7.0,1.0,0.0,56.0,36.0,21.0,25.0,36.0,5.0,1.0,180.0,0.0454545454545,19.0,0.0,0.333333333333,0.0,0.0,21.5714285714,1.14285714286,2.0,1
cirrus.hibernate.Hibernate,7.0,1.0,0.0,56.0,36.0,21.0,25.0,36.0,5.0,1.0,180.0,0.0454545454545,19.0,0.0,0.333333333333,0.0,0.0,21.5714285714,1.14285714286,2.0,1
cirrus.hibernate.HibernateException,1.0,3.0,16.0,129.0,2.0,0.0,125.0,4.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0
cirrus.hibernate.HibernateException,1.0,3.0,16.0,129.0,2.0,0.0,125.0,4.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0
cirrus.hibernate.InstantiationException,4.0,0.0,0.0,10.0,11.0,0.0,2.0,8.0,4.0,0.333333333333,40.0,1.0,0.0,0.0,0.4375,0.0,0.0,8.5,1.0,1.0,0
cirrus.hibernate.InstantiationException,4.0,0.0,0.0,10.0,11.0,0.0,2.0,8.0,4.0,0.333333333333,40.0,1.0,0.0,0.0,0.4375,0.0,0.0,8.5,1.0,1.0,0
cirrus.hibernate.LazyInitializationException,6.0,4.0,0.0,18.0,16.0,0.0,6.0,12.0,5.0,0.666666666667,75.0,0.666666666667,0.0,0.913043478261,0.6,1.0,1.0,11.0,1.33333333333,2.0,0
cirrus.hibernate.LazyInitializationException,6.0,4.0,0.0,18.0,16.0,0.0,6.0,12.0,5.0,0.666666666667,75.0,0.666666666667,0.0,0.913043478261,0.6,1.0,1.0,11.0,1.33333333333,2.0,0
cirrus.hibernate.Lifecycle,4.0,1.0,0.0,10.0,4.0,6.0,5.0,5.0,4.0,1.33333333333,6.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
cirrus.hibernate.Lifecycle,4.0,1.0,0.0,10.0,4.0,6.0,5.0,5.0,4.0,1.33333333333,6.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
cirrus.hibernate.MappingException,4.0,0.0,0.0,69.0,11.0,0.0,61.0,8.0,4.0,0.333333333333,43.0,1.0,0.0,0.0,0.5,0.0,0.0,9.5,1.25,2.0,0
cirrus.hibernate.MappingException,4.0,0.0,0.0,69.0,11.0,0.0,61.0,8.0,4.0,0.333333333333,43.0,1.0,0.0,0.0,0.5,0.0,0.0,9.5,1.25,2.0,0
cirrus.hibernate.ObjectDeletedException,3.0,0.0,0.0,9.0,10.0,0.0,2.0,7.0,3.0,0.0,27.0,1.0,0.0,0.0,0.555555555556,0.0,0.0,7.66666666667,1.0,1.0,0
cirrus.hibernate.ObjectDeletedException,3.0,0.0,0.0,9.0,10.0,0.0,2.0,7.0,3.0,0.0,27.0,1.0,0.0,0.0,0.555555555556,0.0,0.0,7.66666666667,1.0,1.0,0
cirrus.hibernate.ObjectNotFoundException,4.0,0.0,0.0,11.0,12.0,0.0,3.0,8.0,4.0,0.333333333333,41.0,1.0,0.0,0.0,0.4375,0.0,0.0,8.75,1.0,1.0,0
cirrus.hibernate.ObjectNotFoundException,4.0,0.0,0.0,11.0,12.0,0.0,3.0,8.0,4.0,0.333333333333,41.0,1.0,0.0,0.0,0.4375,0.0,0.0,8.75,1.0,1.0,0
